Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
33	-3.7177644	0.7139652	-2.7421455	-5.199873	0	0	0	0	0	127.666664	-4.025111	0.54040855	-3.1451795	-5.841581	68000	4.148483e-08	1.5104871	-0.009761001	-0.82247514	1.0828671	0.0058031566	0.0595	79.0	197.42543625831604
34	-3.8439298	0.8545007	-2.284494	-5.7884817	0	0	0	0	0	132.64285	-3.0751827	0.3888786	-2.5754635	-4.6015215	70000	-4.053116e-09	0.9877984	-0.01414606	-0.082328856	1.0750613	0.012652884	0.1015	79.0	204.95655155181885
35	-4.1536975	0.91134864	-2.6759179	-6.5881734	0	0	0	0	0	130.26666	-3.250359	0.41241923	-2.6981997	-4.8498054	72000	4.2915342e-09	0.73609585	-0.014191284	-0.06822175	1.0666171	0.007408453	0.084	79.0	212.45545101165771
36	-3.828061	0.7799726	-2.4569201	-5.4212112	1.25	0	0	1	0	131.93333	-3.454131	0.46378675	-2.8346176	-5.0909514	74000	-2.3841857e-09	0.7545592	-0.013763064	-0.09331679	1.0573812	0.004623422	0.0735	79.0	217.5250825881958
37	-3.651279	0.6432242	-2.7173545	-4.8700385	1.25	0	0	1	0	133.06667	-3.17283	0.4261866	-2.6453435	-4.8179483	76000	-8.106232e-09	0.4982415	-0.012829871	-0.036023468	1.046543	0.009230022	0.12	79.0	222.58729195594788
38	-3.8128927	0.8410374	-2.139924	-5.6657763	0	0	0	0	0	137.57143	-2.9904325	0.3553623	-2.5225177	-4.5413833	78000	-2.2649764e-09	0.7709352	-0.014722584	-0.030873	1.0445942	0.01064022	0.1035	79.0	227.95189023017883
39	-3.14718	0.69938684	-2.3396575	-4.850765	0	0	0	0	0	134.71428	-3.1555448	0.41034624	-2.6056395	-4.669364	80000	1.1563301e-08	0.91601384	-0.011580922	-0.3880108	1.0544364	0.0063394816	0.06	79.0	233.11220479011536
40	-3.4526799	0.45792058	-2.5923247	-4.074344	1.666666666666667	0	0	1	0	141.5	-2.5813248	0.34690365	-2.1973639	-4.142391	82000	-6.9141386e-09	0.26430613	-0.007852837	-0.04815443	1.0349505	0.00653299	0.0475	79.0	238.1990087032318
41	-3.5141912	0.5428216	-2.4147189	-4.265745	0	0	0	0	0	136.57143	-2.7205627	0.35533723	-2.2933574	-4.2503757	84000	1.525879e-08	0.31379148	-0.008429292	-0.018249303	1.0365835	0.004962312	0.073	79.0	243.43681001663208
42	-3.264332	0.64502776	-2.458674	-4.708472	0	0	0	0	0	137.71428	-2.8459744	0.40391964	-2.3529236	-4.4567823	86000	-3.4570693e-08	0.46624544	-0.011232467	-0.06612292	0.99836427	0.008147433	0.067	79.0	248.72335815429688
43	-3.3898487	0.55366707	-2.5704339	-4.434595	0	0	0	0	0	140.57143	-2.6591468	0.38716483	-2.1885426	-4.1900067	88000	-5.2452087e-09	0.30072287	-0.011692341	-0.0081089735	0.97864246	0.0058025704	0.072	79.0	256.0265772342682
44	-3.2963274	0.31893024	-2.6695151	-3.6961868	0	0	0	0	0	140.21428	-2.6720018	0.36622146	-2.2113605	-4.1515775	90000	-1.20997425e-08	0.15476233	-0.013205771	-0.008771807	0.9762715	0.011001688	0.1235	79.0	263.9046256542206
45	-3.430076	0.4288476	-2.50081	-4.180059	0	0	0	0	0	136.5	-2.633961	0.35098627	-2.1464465	-4.000969	92000	1.5854836e-08	0.20937	-0.011457438	-0.021269083	0.9900469	0.0074775196	0.0925	79.0	270.7719864845276
46	-3.4201634	0.55831367	-2.6696	-4.568218	0	0	0	0	0	138.07143	-2.7170556	0.40018034	-2.1973999	-4.132518	94000	-2.6226044e-09	0.35521203	-0.008645454	-0.0058889985	0.9860067	0.0061358344	0.0565	79.0	278.55469155311584
47	-3.3328452	0.42391872	-2.6303177	-4.157773	0	0	0	0	0	139.85715	-2.7248936	0.39523777	-2.2067149	-4.065278	96000	-1.859665e-08	0.21683398	-0.009570817	-0.008473679	0.9758627	0.0088214455	0.044	79.0	284.15660190582275
48	-3.2428823	0.6136352	-2.3028347	-4.38063	0	0	0	0	0	138.5	-2.7074804	0.41783175	-2.1495984	-4.1125193	98000	9.775162e-09	0.45998824	-0.011874805	-0.028319329	0.9575467	0.012120314	0.0755	79.0	288.0796766281128
49	-2.9371588	0.36642334	-2.192272	-3.4839242	1.25	0	0	1	0	132.4	-2.5472813	0.3671046	-2.0484328	-3.8416362	100000	2.4795533e-08	0.21425605	-0.009050145	-0.06844136	0.9740119	0.0053360574	0.0475	79.0	291.5950458049774
