Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	%Crash	vel_crashes	ang_vel_crashes	angle_crashes	fuel_crashes	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
33	-4.5601363	1.1601884	-2.5072095	-6.899985	0	0	0	0	0	102.0	-4.5085526	0.96480274	-3.0568871	-7.824108	68000	8.5830685e-09	1.4783708	-0.01126697	-0.26451898	1.013469	0.009463868	0.06	79.0	216.11454272270203
34	-5.1409144	1.3735446	-3.0556118	-8.081298	0	0	0	1	0	99.25	-4.0939856	0.944992	-2.7664242	-7.1707125	70000	-2.336502e-08	1.5708777	-0.010658802	-0.22383678	0.9915725	0.011129253	0.0445	79.0	222.99377942085266
35	-4.6057167	1.7368851	-2.5956013	-9.17475	0	2	0	1	0	95.190475	-4.451907	1.0807852	-3.0574703	-9.224282	72000	-2.2649765e-08	1.8892236	-0.020461619	-0.27701354	0.9675895	0.009280207	0.0905	79.0	230.80397367477417
36	-3.8937402	1.0045844	-2.3002036	-5.47422	0	0	0	0	0	97.15	-3.917789	0.8233791	-2.791087	-7.10335	74000	3.8146974e-09	1.263224	-0.014132177	-0.29085147	0.97205114	0.012129904	0.1105	79.0	237.6938111782074
37	-3.5530019	0.852759	-1.9974024	-5.0281086	0	0	0	0	0	110.44444	-3.2259834	0.66015965	-2.44192	-6.159988	76000	3.3378602e-09	0.8758529	-0.0030761736	-0.12940085	0.9909208	0.016448215	0.179	11.0	243.81512451171875
38	-3.7007332	0.9853	-1.9958739	-5.5458403	0	0	0	0	0	124.625	-3.0091364	0.6028623	-2.2584844	-5.8752565	78000	-2.1457671e-09	0.95580727	-0.010019145	-0.07713634	1.0041928	0.015119061	0.092	59.0	250.71678185462952
39	-4.0283265	1.2062291	-2.2389665	-7.7878666	0	0	0	0	0	120.5625	-3.0966945	0.67928046	-2.3341117	-5.758475	80000	-7.152557e-09	1.1791438	-0.0140084345	-0.10187018	1.0268719	0.009449768	0.0975	79.0	258.3659517765045
40	-3.5113163	0.75252783	-2.3443277	-5.3744206	0	0	0	1	0	123.125	-3.274798	0.65167606	-2.52124	-5.7380753	82000	-1.001358e-08	0.7200642	-0.014562654	-0.1735152	1.034414	0.0067348415	0.0955	79.0	265.37369894981384
41	-3.4836786	0.80465674	-2.4868026	-5.184102	0	0	0	0	0	113.05882	-3.0939784	0.68543494	-2.2570267	-5.475709	84000	-1.7404556e-08	0.6594273	-0.0036515703	-0.10367936	1.0454625	0.015254247	0.117	9.0	272.06653213500977
42	-3.4489868	0.6232452	-2.4987469	-5.1578965	0	0	0	0	0	125.86667	-2.7514188	0.496719	-2.0914688	-4.8306055	86000	-6.6757204e-09	0.5956007	-0.012717994	-0.06020528	1.0524393	0.01505011	0.107	46.0	278.13368582725525
43	-3.9155898	1.2049586	-2.304584	-6.4384804	0	0	0	0	0	135.64285	-2.7888677	0.50926167	-2.1026943	-4.722845	88000	-9.536744e-10	1.3682567	-0.0058676973	-0.24035859	1.054613	0.017543597	0.244	6.0	283.9630308151245
44	-3.3804085	0.50514716	-2.4162228	-4.249356	0	0	0	1	0	142.64285	-3.0852084	0.6023223	-2.392317	-5.2010884	90000	-2.2292138e-08	0.5368743	-0.014387281	-0.21676436	1.0597873	0.01194518	0.11	79.0	290.6650855541229
45	-3.3565545	0.50691843	-2.7683444	-4.3000436	0	0	0	0	0	143.46153	-2.6544547	0.5176081	-2.1138499	-4.5441732	92000	9.298325e-09	0.35915846	-0.016207617	-0.040145695	1.051917	0.009213322	0.073	79.0	296.86414790153503
46	-3.5896761	0.67842996	-2.2354596	-4.652298	0	0	0	0	0	140.71428	-2.6492875	0.45133904	-2.0678399	-4.249938	94000	-3.5762786e-09	0.49300483	-0.012026818	-0.06033495	1.0431123	0.005906966	0.0665	79.0	303.36974024772644
47	-3.686655	0.72422165	-2.729561	-5.160929	0	0	0	0	0	135.28572	-2.9241533	0.54503244	-2.2184625	-4.454726	96000	-5.9604646e-09	0.5229562	-0.017198136	-0.022050202	1.0441533	0.008629719	0.114	79.0	309.5033061504364
48	-3.601578	0.77653205	-2.257799	-5.3694563	0	0	0	0	0	132.46666	-2.871399	0.3995369	-2.2745745	-4.1152387	98000	-1.45435335e-08	0.625939	-0.009411006	-0.013875246	1.0367903	0.01500588	0.1485	13.0	315.5335876941681
49	-3.2635024	0.60768765	-2.1400561	-4.418437	0	0	0	0	0	144.92308	-2.9052901	0.45822024	-2.273194	-4.3538017	100000	9.059906e-09	0.49845925	-0.02125392	-0.13931957	1.0542519	0.00992905	0.1795	79.0	320.4983129501343
